|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset       |
|00038465001|2009-11-10 20:38:24|   290.30900|   126.37100|     0.00000|   581.31400|     3.76200|     0.00000|   18.72600| 1016.98700|1.587 (PKS B1149-084)|
|00038465003|2012-03-20 08:09:00|   140.75800|   140.78000|   140.76900|   280.77700|   562.78900|  2437.13900|    0.00000| 3732.63300|1.697 (PKS B1149-084)|
|00038465002|2012-03-19 00:10:00|   134.76700|   134.78900|   134.77800|   268.77300| 12343.00200|   201.67100|    0.08700|14327.69300|1.798 (PKS B1149-084)|
