|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset |
|00038482002|2009-01-07 01:23:00|   834.69500|   834.99300|   834.75100|  1726.65200|  3348.85500|  2362.51200|    0.00000|10292.81900| 0.536 (OX 131)|
|00339295000|2009-01-07 04:32:06|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|    0.00000| 2.151 (OX 131)|
|00038482001|2009-01-02 00:46:00|  1064.52200|  1064.44500|  1064.48900|  2131.38400|  4265.55800|  2846.58200|   41.91800|12660.02300| 2.978 (OX 131)|
|00082159001|2013-12-09 18:11:59|     0.00000|     0.00000|     0.00000|    60.05200|     0.00000|     0.00000|    0.09800|   62.67300| 8.887 (OX 131)|
|00082159002|2014-01-11 16:59:59|     0.00000|     0.00000|     0.00000|   414.87100|   425.76000|   425.77100|    0.10200| 1278.19800|11.774 (OX 131)|
|00082159005|2016-01-07 15:28:58|     0.00000|     0.00000|     0.00000|   130.32100|   134.76700|   134.77800|    0.00000|  411.19100|11.930 (OX 131)|
|00082159003|2015-01-11 23:26:59|     0.00000|     0.00000|     0.00000|   517.88500|   528.53200|   528.54300|    0.00000| 1599.65200|12.182 (OX 131)|
|00082159004|2015-01-13 10:43:59|     0.00000|     0.00000|     0.00000|   235.95000|   225.76700|   225.77800|    0.00000|  698.17100|12.362 (OX 131)|
|00082159006|2016-01-08 15:20:58|     0.00000|     0.00000|     0.00000|   349.58900|   378.53900|   378.53900|    0.00000| 1125.76700|12.830 (OX 131)|
