|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset       |
|00046654003|2012-11-01 20:38:59|   224.47600|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|  225.64800|1.138 (PKS B2224+006)|
|00046654001|2011-10-17 20:34:59|     0.00000|     0.00000|     0.00000|   143.95800|     0.00000|     0.00000|    0.00000|  145.41400|1.569 (PKS B2224+006)|
|00046654004|2013-01-09 15:26:59|    45.77600|    45.77600|    45.77600|    92.75400|   185.77200|   143.07500|    0.00000|  582.92200|2.288 (PKS B2224+006)|
|00046654002|2012-06-28 05:48:59|    63.77000|    63.78100|    63.77000|   128.77600|   257.88300|   609.51400|    0.00000| 1216.02400|3.431 (PKS B2224+006)|
|00046654006|2013-04-16 00:08:59|    88.77100|    88.78200|    88.78200|   177.76200|   354.77500|   800.75800|    0.00000| 1629.73200|3.814 (PKS B2224+006)|
|00046654005|2013-01-10 20:09:58|    59.77600|    59.76500|    59.77600|   119.76200|   239.77800|   640.98000|    0.00000| 1206.00100|3.831 (PKS B2224+006)|
