|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset      |
|00085104002|2015-12-13 04:08:58|     0.00000|     0.00000|     0.00000|     0.00000|  1461.09000|   965.01600|    0.00000| 2429.56000|8.776 (PKS 2022+031)|
|00085104003|2015-12-18 19:57:58|     0.00000|     0.00000|     0.00000|   440.47800|     0.00000|   176.43800|    0.00000|  621.78400|9.173 (PKS 2022+031)|
|00085104001|2015-12-11 10:48:57|   171.63900|     0.00000|     0.00000|   572.63100|     0.00000|     0.00000|    0.08100|  746.16800|9.652 (PKS 2022+031)|
