|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset    |
|00035986001|2006-10-19 13:39:25|   173.34900|   173.33800|    75.77400|   347.30500|   605.26600|   124.62800|  102.15600| 1382.97500|0.673 (S5 1053+70)|
|00035986003|2007-04-04 01:25:01|   319.66800|   319.61300|   319.63500|   638.63000|  1276.63000|   836.18500|   27.84300| 3827.68400|1.786 (S5 1053+70)|
|00035986002|2007-03-25 11:45:00|    46.78000|    46.78000|    46.78000|    94.76200|   188.77300|   121.25200|    3.04800|  564.84700|2.628 (S5 1053+70)|
