|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset      |
|00087232006|2017-01-06 03:54:57|     0.00000|  1105.57600|  3311.60800|     0.00000|     0.00000|     0.00000|    0.13400| 4499.85400|1.039 (PKS 2245-328)|
|00087232002|2016-12-28 02:56:57|     0.00000|  2929.34000|  3166.43700|     0.00000|     0.00000|     0.00000|    0.13000| 6191.05900|1.289 (PKS 2245-328)|
|00087232003|2017-01-01 12:24:56|     0.00000|  1429.65700|  1134.08500|     0.00000|     0.00000|     0.00000|    0.00000| 2595.61500|1.554 (PKS 2245-328)|
|00087232001|2016-12-26 01:34:58|     0.00000|  4702.21900|  5551.35700|     0.00000|     0.00000|     0.00000|    0.22600|11398.95500|3.118 (PKS 2245-328)|
|00087232004|2017-01-04 21:37:57|     0.00000|   208.98600|   203.76700|     0.00000|     0.00000|     0.00000|    0.00000|  421.22100|3.529 (PKS 2245-328)|
|00087232005|2017-01-05 15:04:57|     0.00000|     0.00000|    84.41300|     0.00000|     0.00000|     0.00000|    0.00000|   85.23900|4.270 (PKS 2245-328)|
|00087232007|2017-01-08 00:34:57|     0.00000|    82.69200|   134.29300|     0.00000|     0.00000|     0.00000|    0.00000|  243.18100|4.337 (PKS 2245-328)|
