|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset               |
|00041544001|2011-01-19 03:56:00|   111.77500|   111.77500|   111.78600|   223.77000|   447.78200|   286.85600|    0.00000| 1318.03500| 0.942 (87GB 105148.6+222705)|
|00083402001|2019-01-05 23:39:35|    76.76700|    76.77800|    76.76700|   153.76600|   307.77400|   206.20500|    0.00000|  925.18800| 1.499 (87GB 105148.6+222705)|
|00040553002|2013-10-15 14:54:59|    80.77200|    80.77200|    80.77200|   162.75800|   324.78700|   244.04800|    0.00000|  997.90300| 2.280 (87GB 105148.6+222705)|
|00040553001|2012-07-12 03:48:59|  1303.55100|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.08600| 1306.29000| 2.425 (87GB 105148.6+222705)|
|00031624001|2010-02-18 11:43:00|     0.00000|     0.00000|     0.00000|     0.00000|  4972.71300|     0.00000|    0.09200| 4979.48800| 3.833 (87GB 105148.6+222705)|
|00791201000|2017-11-20 13:04:21|   826.02400|   419.32800|   428.57400|  1119.31200|   419.33900|  1168.77200|  340.93500| 4768.88600|17.985 (87GB 105148.6+222705)|
|00791201001|2017-11-20 16:35:53|     0.00000|     0.00000|     0.00000|     0.00000|  9852.63900|     0.00000|    0.10900| 9803.43700|18.328 (87GB 105148.6+222705)|
|00791201002|2017-11-21 17:46:57|     0.00000|     0.00000|     0.00000|  4880.84100|     0.00000|  4965.57500|    0.18000| 9856.23900|19.052 (87GB 105148.6+222705)|
|00791201004|2017-11-24 09:26:56|     0.00000|     0.00000|     0.00000|     0.00000|  4670.43300|     0.00000|    0.00000| 4676.12200|19.604 (87GB 105148.6+222705)|
