|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset                  |
|00087621002|2018-01-11 14:47:57|    89.77500|    89.76400|    89.77500|   179.77000|   359.78400|   288.54400|    0.10900| 1123.05100|0.562 (SDSS J105707.47+551032.2)|
|00087621001|2018-01-08 04:12:57|    44.78300|    44.71600|    44.77200|    89.76400|   179.77000|   154.00900|    0.00000|  579.17100|1.172 (SDSS J105707.47+551032.2)|
|00087621003|2018-01-26 19:44:56|   216.26700|   216.32200|   154.56000|   432.30300|   849.88800|   475.29800|    0.15400| 2409.49800|1.193 (SDSS J105707.47+551032.2)|
|00087621004|2018-01-28 16:30:57|    67.78600|    67.78600|    67.77500|   135.77100|   270.77000|   196.82700|    0.00000|  832.41900|1.644 (SDSS J105707.47+551032.2)|
|00087621005|2018-02-06 09:14:57|    43.71200|    43.77900|    43.77900|    87.75600|   176.75800|   151.12900|    0.00000|  571.65900|1.693 (SDSS J105707.47+551032.2)|
|00090735001|2010-04-13 08:42:00|     0.00000|     0.00000|     0.00000|  1562.36100|     0.00000|     0.00000|    0.00000| 1562.04900|1.904 (SDSS J105707.47+551032.2)|
