|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset   |
|00046582004|2012-09-01 01:20:59|  1643.30900|   110.72600|   110.78200|  2107.68500|   445.77400|   351.26600|    0.12600| 4798.88900|1.962 (4C +13.14)|
|00046582003|2012-08-30 06:15:59|    93.53700|    93.55900|    93.53700|   185.54100|   372.56000|   584.08300|    0.00000| 1475.35800|2.465 (4C +13.14)|
|00046582002|2011-10-26 18:47:59|    38.77000|    38.78100|    38.75900|    76.75600|   153.77700|    92.61000|    0.00000|  463.03700|4.504 (4C +13.14)|
|00046582001|2011-10-24 09:05:24|     0.00000|     0.00000|     0.00000|    75.97300|     0.00000|     0.00000|    0.00000|   77.71700|4.645 (4C +13.14)|
