|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset    |
|00040502003|2011-07-12 16:29:00|    90.54700|    90.54700|    90.55800|   183.53300|   367.55100|  1886.97100|    0.00000| 2763.00700|0.366 (B2 0242+23)|
|00040502001|2010-03-11 00:29:00|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  1225.53700|   14.37500| 1212.57800|2.345 (B2 0242+23)|
|00040502002|2010-07-02 01:13:49|    81.78700|    81.76500|    81.77600|   163.77300|   327.77700|   214.27000|    9.43700|  967.80900|2.700 (B2 0242+23)|
