|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset      |
|00046629003|2012-10-18 18:52:58|   121.77000|   121.77000|   121.77000|   243.77200|   487.77600|   929.33600|    0.00000| 2055.98000|1.737 (TXS 1645+635)|
|00046629002|2012-07-14 00:53:59|   102.78300|   102.77200|   102.78300|   204.77100|   410.77800|  2065.98100|    0.00000| 3019.46400|2.022 (TXS 1645+635)|
|00046629001|2012-06-06 22:00:00|   117.90900|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|  118.21600|4.128 (TXS 1645+635)|
