|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset        |
|00039357001|2010-02-04 09:05:00|     0.00000|     0.00000|     0.00000|  4532.60000|     0.00000|     0.00000|    0.00000| 4532.31000| 0.987 (PKS B1043-291)|
|07006722001|2017-02-28 10:18:53|    63.75900|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.04000|   65.18000| 1.374 (PKS B1043-291)|
|07006722002|2017-03-04 00:15:56|   398.61900|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.12000|  401.16100| 4.073 (PKS B1043-291)|
|07006723001|2017-02-28 10:20:23|    59.33500|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|   60.16500|18.643 (PKS B1043-291)|
|07007511001|2017-03-01 13:11:10|    60.71400|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.15500|   62.67300|19.504 (PKS B1043-291)|
