|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset      |
|00081730001|2015-11-08 08:35:58|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  1974.56200|    6.06500| 1970.72700|1.956 (TXS 0322+222)|
|00035928003|2007-03-25 05:08:01|   234.10800|   234.09600|   234.06300|   469.05400|   939.08900|   613.87200|    8.98600| 2811.68300|2.533 (TXS 0322+222)|
|00035928002|2007-02-28 16:47:01|     0.00000|     0.00000|     0.00000|    31.54300|     0.00000|     0.00000|   10.33100|  170.47700|3.435 (TXS 0322+222)|
