|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset       |
|00040595001|2016-08-27 23:24:58|    41.78200|    41.78200|    41.77100|    83.77300|   167.76700|   126.34900|    0.00000|  528.03700| 0.044 (PKS 1329-049)|
|00040595004|2020-12-06 19:31:36|    66.78200|    66.87100|    66.77100|   133.77400|   267.76900|   166.42100|    0.00000|  793.20100| 0.923 (PKS 1329-049)|
|00081142001|2017-05-29 10:47:57|   137.76800|   137.77900|   137.77900|   275.77900|   550.78500|  5369.47900|   36.61300| 6601.26900| 2.858 (PKS 1329-049)|
|00040595003|2017-12-08 13:09:57|     0.00000|     0.00000|     0.00000|   210.14400|     0.00000|     0.00000|    0.00000|  210.60400| 3.079 (PKS 1329-049)|
|00038438001|2010-07-10 04:05:37|   340.31000|   319.53500|   639.54500|   959.27900|  1279.55400|  1387.32400|   12.32500| 4941.87900| 3.286 (PKS 1329-049)|
|00038438002|2010-07-13 04:43:00|   365.30000|   365.33300|   365.30000|   731.31700|  1463.31800|   851.63100|   10.33600| 4207.24400| 3.699 (PKS 1329-049)|
|00090189002|2009-08-11 10:06:00|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  4070.41800|    0.12100| 4074.79000| 3.924 (PKS 1329-049)|
|00090189001|2009-08-05 04:38:00|  1190.59500|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000| 1193.46400| 5.813 (PKS 1329-049)|
|00038064001|2009-08-27 00:30:00|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  8071.84900|   45.77900| 8022.48400|10.190 (PKS 1329-049)|
